n,pure_bf_time,pure_bf_capital,pure_bf_solutions,pruned_bf_time,pruned_bf_capital,pruned_bf_nodes,hybrid_bf_time,hybrid_bf_capital,hybrid_bf_routes,hybrid_bf_dp_execs,efficient_time,efficient_capital,efficient_routes_gen,efficient_routes_eval,capital_match
2,4.553794860839844e-05,27,4,3.790855407714844e-05,27,4,3.600120544433594e-05,27,2,0,0.00012421607971191406,,2,2,True
3,6.008148193359375e-05,78,25,8.0108642578125e-05,78,23,6.866455078125e-05,78,5,0,0.0004329681396484375,78.0,5,5,True
4,0.0005714893341064453,89,226,0.00037670135498046875,89,184,0.0003421306610107422,89,16,6,0.0005552768707275391,89.0,15,7,True
5,0.004426479339599609,116,2713,0.005187273025512695,116,1821,0.0021071434020996094,116,65,48,0.002192258834838867,111.0,48,19,False
6,0.05993032455444336,139,40696,0.015768051147460938,139,21776,0.014114856719970703,139,326,300,0.009150028228759766,121.0,215,41,False
7,1.1300599575042725,176,732529,0.31473541259765625,176,313181,0.3342132568359375,176,1957,1679,0.04906868934631348,176.0,588,42,True
8,30.790415048599243,184,15383110,5.211609840393066,184,4646872,0.4159832000732422,183,13700,3590,0.1393752098083496,160.0,993,93,False
