n,total_calls,total_pruned,pruning_rate,pruned_by_time,pruned_by_bound,pruned_by_capacity,pruned_by_capital,execution_time,pct_time,pct_bound,pct_capacity,pct_capital
5,1821,372,20.42833607907743,0,41,319,12,0.0051767826080322266,0.0,11.021505376344086,85.75268817204301,3.225806451612903
7,313181,79924,25.520066670711188,0,32270,47654,0,0.529287576675415,0.0,40.375857064211004,59.624142935789,0.0
9,106305971,33695842,31.697036095931058,0,17514790,16181052,0,98.15332889556885,0.0,51.97908394750901,48.02091605249099,0.0
11,211678408,97444771,46.03434611998782,0,60274749,37170022,0,200.00031113624573,0.0,61.85529339486057,38.14470660513944,0.0
