n,pure_bf_time,pruned_bf_time,hybrid_time,pure_bf_capital,pruned_bf_capital,hybrid_capital
3,0.00031685829162597656,0.0001499652862548828,0.0002532005310058594,78.0,78.0,78
4,0.0003960132598876953,0.00036263465881347656,0.00038433074951171875,89.0,89.0,89
5,0.006696224212646484,0.0021452903747558594,0.00174713134765625,116.0,116.0,116
6,0.10180878639221191,0.03079819679260254,0.03117656707763672,139.0,139.0,139
7,1.0368242263793945,0.27295732498168945,0.18557238578796387,176.0,176.0,176
8,21.286858797073364,5.048422813415527,0.38838791847229004,184.0,184.0,183
9,200.0011067390442,90.75475215911865,9.715183973312378,208.0,221.0,221
10,inf,200.00045204162598,5.1573474407196045,,245.0,246
11,inf,inf,31.957043409347534,,,251
12,inf,inf,200.000018119812,,,267
