characteristic,profit_margin,time_constraint,capacity,pure_time,pruned_time,hybrid_time
"High Profit, Loose Time",high,loose,normal,0.00425410270690918,0.003188610076904297,0.0017621517181396484
"High Profit, Tight Time",high,tight,normal,0.0032930374145507812,0.002061605453491211,0.0003139972686767578
"Low Profit, Loose Time",low,loose,normal,0.004040241241455078,0.0011310577392578125,0.0008282661437988281
"Low Profit, Tight Time",low,tight,normal,0.0038700103759765625,0.0020864009857177734,0.0001747608184814453
"High Profit, High Capacity",high,loose,high,0.006051540374755859,0.008836507797241211,0.0047075748443603516
